,,Location 2021,,-->,Location 2022,AIFDB,,,,Corpus Exists in AIFDB?,Most Recent Map in Corpus,Participants Tidied?,Transcript added to edit link?,2021 Corpus Edit LInk,2022 Corpus Edit Link,Text Present 2021 Location,Text Present 2022 Location,Progress Sheet Link,Transcript Google Doc link
Testrun,Corpus,AIFDBQT Map,AIFDB Map,,AIFDB Map,Old ID,,,Part number,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cutietestrun28october2021,cutietestrun28october2021,22282,,,23536,,,,part 12,y,23536,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22283,,,23537,,,,part 14,y,23537,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22285,,,23538,,,,part 11,y,23538,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22284,,,23539,,,,part 8,y,23539,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22286,,,23541,,,,part 15,y,23541,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22287,,,23542,,,,part 19,y,23542,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22290,,,23544,,,,part 22,y,23544,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22288,,,23545,,,,part 21,y,23545,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22289,,,25379,23546,,,part 24,y,25379,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22292,,,23547,,,,part 16,y,23547,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22291,,,23548,,,,part 9,y,23548,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22293,,,23549,,,,part 27,y,23549,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22294,,,23550,,,,part 30,y,23550,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22295,,,23551,,,,part 10,y,23551,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22296,,,23552,,,,part 13,y,23552,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22297,,,23553,,,,part 25,y,23553,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22298,,,23556,,,,part 28,y,23556,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22299,,,23557,,,,part 23,y,23557,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22300,,,23558,,,,part 32,y,23558,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22304,,,23559,,,,part 26,y,23559,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22301,,,23560,,,,part 36,y,23560,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22302,,,23561,,,,part 29,y,23561,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22303,,,23562,,,,part 33,y,23562,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22305,,,23563,,,,part 31,y,23563,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22306,,,23565,,,,part 17,y,23565,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22308,,,23566,,,,part 43,y,23566,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22307,,,23567,,,,part 34,y,23567,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22309,,,23568,,,,part 35,y,23568,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22311,,,23569,,,,part 41,y,23569,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22312,,,23570,,,,part 55,y,23570,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22313,,,23571,,,,part 42,y,23571,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22314,,,23572,,,,part 44,y,23572,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22316,,,23573,,,,part 37,y,23573,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22315,,,23574,,,,part 50,y,23574,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22318,,,23575,,,,part 48,y,23575,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22319,,,23576,,,,part 38,y,23576,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22320,,,23577,,,,part 46,y,23577,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22321,,,23578,,,,part 39,y,23578,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22322,,,23579,,,,part 52,y,23579,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22323,,,23580,,,,part 45,y,23580,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22324,,,23581,,,,part 49,y,23581,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22326,,,23582,,,,part 56,y,23582,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22325,,,23583,,,,part 53,y,23583,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22328,,,23584,,,,part 57,y,23584,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22327,,,23585,,,,part 47,y,23585,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22329,,,23586,,,,part 51,y,23586,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22330,,,23587,,,,part 54,y,23587,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22331,,,23588,,,,part 58,y,23588,,,,,,y,,
cutietestrun28october2021,cutietestrun28october2021,22310,,,25692,,,,part 40,,25692,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22231,,,23589,,,,1,y,23589,,y,http://corporaqt.arg.tech/edit.php?k=9aefac458ce29785233382035d88a433,http://corpora.aifdb.org/edit.php?k=e214a6cccb3fb1f62172c28efc29a2e6,,,https://docs.google.com/spreadsheets/d/1I8lDNwcjJ6CVm2b-gdkp-UAczmy9KAHjdoYNBQSgxnM/edit#gid=137189590,https://docs.google.com/document/d/1nUCzAR9LNRfaXGmQW-bvxg2CHqnFn8Zy5be32qCCvd0/edit?usp=sharing
cutiestestrun14october2021,cutiestestrun14october2021,22232,,,23590,,,,2,y,23590,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22233,,,23591,,,,3,y,23591,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22234,,,25693,(used to be wrong part) 23592,,,5,y,25693,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22235,,,23593,,,,8,y,23593,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22236,,,23594,,,,9,y,23594,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22237,,,23595,,,,6,y,23595,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22238,,,23596,,,,4,y,23596,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22239,,,23597,,,,15,y,23597,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22241,,,25694,23598,,,20,y,25694,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22240,,,23599,,,,11,y,23599,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22242,,,23600,,,,14,y,23600,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22244,,,23601,,,,7,y,23601,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22243,,,23602,,,,24,y,23602,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22245,,,23603,,,,10,y,23603,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22246,,,23604,,,,23,y,23604,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22247,,,23605,,,,17,y,23605,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22248,,,23606,,,,12,y,23606,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22250,,,23607,,,,16,y,23607,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22251,,,23608,,,,13,y,23608,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22253,,,23609,,,,27,y,23609,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22252,,,23610,,,,19,y,23610,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22254,,,23611,,,,18,y,23611,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22255,,,23612,,,,34,y,23612,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22256,,,23613,,,,30,y,23613,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22259,,,23614,,,,28,y,23614,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22260,,,23615,,,,32,y,23615,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22257,,,23616,,,,22,y,23616,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22258,,,23617,,,,25,y,23617,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22261,,,23618,,,,39,y,23618,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22262,,,25695,(used to be wrong part) 23619,,,31,y,25695,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22264,,,23620,,,,29,y,23620,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22263,,,23621,,,,36,y,23621,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22265,,,23622,,,,21,y,23622,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22266,,,23623,,,,33,y,23623,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22267,,,23624,,,,38,y,23624,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22268,,,23625,,,,35,y,23625,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22269,,,23626,,,,37,y,23626,,,,,,,,
cutiestestrun14october2021,cutiestestrun14october2021,22270,,,23627,,,,26,y,23627,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22141,,,23700,,,,1,y,23700,,y,http://corporaqt.arg.tech/edit.php?k=4707415f44cf383253d27a04a208dc65,http://corpora.aifdb.org/edit.php?k=62c1a0489933b1c312a272e8187918af,,,https://docs.google.com/spreadsheets/d/1FercpzxYz1n1VnnMdg6Ri6hcYKf4a7ePr3mqpBOxCSY/edit#gid=581571325,https://docs.google.com/document/d/1g-QFZtPVGEETb2frKDTSYYEsAMl8ragv943kRBMpcZI/edit?usp=sharing
cutietestrun30september2021,cutietestrun30september2021,22144,,,23701,,,,2,y,23701,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22142,,,23702,,,,3,y,23702,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22148,,,23703,,,,4,y,23703,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22145,,,23704,,,,5,y,23704,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22152,,,23705,,,,6,y,23705,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22143,,,23706,,,,7,y,23706,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22146,,,23707,,,,8,y,23707,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22155,,,23708,,,,9,y,23708,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22153,,,23709,,,,10,y,23709,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22158,,,23710,,,,11,y,23710,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22147,,,23711,,,,12,y,23711,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22176,,,23712,,,,13,y,23712,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22151,,,23713,,,,14,y,23713,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22154,,,23642,(identical to 23713) 23714,,,15,y,23642,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22160,,,23715,,,,16,y,23715,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22149,,,23716,,,,17,y,23716,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22159,,,25416,23717,,,18,y,25416,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22163,,,23718,,,,19,y,23718,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22161,,,23719,,,,20,y,23719,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22150,,,23720,,,,21,y,23720,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22157,,,23721,,,,22,y,23721,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22162,,,23722,,,,23,y,23722,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22167,,,23723,,,,24,y,23723,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22166,,,23724,,,,25,y,23724,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22168,,,23725,,,,26,y,23725,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22164,,,23727,,,,27,y,23727,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22172,,,23728,,,,28,y,23728,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22173,,,23729,,,,29,y,23729,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22169,,,23730,,,,30,y,23730,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22165,,,23731,,,,31,y,23731,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22170,,,23732,,,,32,y,23732,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22171,,,23733,,,,33,y,23733,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22175,,,23734,,,,34,y,23734,,,,,,,,
cutietestrun30september2021,cutietestrun30september2021,22182,,,23735,,,,35,y,23735,,,,,,,,
