,,Location 2021,,-->,Location 2022,AIFDB,,,,Corpus Exists in AIFDB?,Most Recent Map in Corpus,Participants Tidied?,Transcript added to edit link?,2021 Corpus Edit LInk,2022 Corpus Edit Link,Text Present 2021 Location,Text Present 2022 Location,Progress Sheet Link,Transcript Google Doc link
Testrun,Corpus,AIFDBQT Map,AIFDB Map,,AIFDB Map,Old ID,,,Part number,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22133,,,23794,,,,46,y,23794,,,,,,,,
cutietestrun16september2021,cutietestrun16september2021,22128,,,23795,,,,47,y,23795,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22002,,,23796,,,,1,y,23796,,y,http://corporaqt.arg.tech/edit.php?k=6146c060b7f823a7ce76ac6fa5faadb9,http://corpora.aifdb.org/edit.php?k=7b7ba5e4c963fa97277cfb5bfbdfa938,,,https://docs.google.com/spreadsheets/d/1FercpzxYz1n1VnnMdg6Ri6hcYKf4a7ePr3mqpBOxCSY/edit#gid=54236267,https://docs.google.com/document/d/10-LWHxf-OT2GW3QnAaIi_GsYs1Xr5Dy7JssbRwbBPDY/edit?usp=sharing
cutiestestrun2september2021,cutiestestrun2september2021,22004,,,23797,,,,2,y,23797,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22003,,,23798,,,,3,y,23798,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22008,,,23799,,,,4,y,23799,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22005,,,23800,,,,5,y,23800,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22007,,,23801,,,,6,y,23801,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22009,,,23802,,,,7,y,23802,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22006,,,23803,,,,8,y,23803,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22013,,,23804,,,,9,y,23804,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22011,,,23805,,,,10,y,23805,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22012,,,23806,,,,11,y,23806,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22010,,,23807,,,,12,y,23807,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22017,,,23808,,,,13,y,23808,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22015,,,23809,,,,14,y,23809,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22020,,,23810,,,,15,y,23810,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22018,,,23811,,,,16,y,23811,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22022,,,23812,,,,17,y,23812,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22014,,,23813,,,,18,y,23813,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22019,,,23814,,,,19,y,23814,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22025,,,23815,,,,20,y,23815,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22021,,,23816,,,,21,y,23816,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22031,,,23817,,,,22,y,23817,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22028,,,23818,,,,23,y,23818,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22026,,,25382,23819,,,24,y,25382,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22023,,,23820,,,,25,y,23820,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22034,,,23821,,,,26,y,23821,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22027,,,23822,,,,27,y,23822,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22024,,,23823,,,,28,y,23823,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22030,,,23824,,,,29,y,23824,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22032,,,23825,,,,30,y,23825,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22033,,,23826,,,,31,y,23826,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22043,,,23827,,,,32,y,23827,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22045,,,23828,,,,33,y,23828,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22040,,,25383,23829,,,34,y,25383,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22036,,,23830,,,,35,y,23830,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22035,,,25726,(identical to 23830) 23831,,,36,y,25726,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22037,,,23832,,,,37,y,23832,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22039,,,23834,,,,38,y,23834,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22046,,,25384,23835,,,39,y,25384,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22044,,,23836,,,,40,y,23836,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22038,,,23837,,,,41,y,23837,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22042,,,23838,,,,42,y,23838,,,,,,,,
cutiestestrun2september2021,cutiestestrun2september2021,22041,,,23839,,,,43,y,23839,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21952,,,23841,,,,1,y,23841,,y,http://corporaqt.arg.tech/edit.php?k=5b72efc70a4a74bc9d05b19b714af31c,http://corpora.aifdb.org/edit.php?k=822d07ed805fabeb104039ed3f47aea6,,,https://docs.google.com/spreadsheets/d/1FercpzxYz1n1VnnMdg6Ri6hcYKf4a7ePr3mqpBOxCSY/edit#gid=1123287705,https://docs.google.com/document/d/1gsIImM-jV7Tgf8cf3D97Gsi6V6Phgywtr1M0fKkavxk/edit?usp=sharing
cutiestestrun19August2021,cutiestestrun19August2021,21950,,,23842,,,,2,y,23842,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21951,,,23843,,,,3,y,23843,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21954,,,23844,,,,4,y,23844,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21953,,,23845,,,,5,y,23845,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21957,,,23846,,,,6,y,23846,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21955,,,23847,,,,7,y,23847,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21960,,,23848,,,,8,y,23848,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21966,,,23849,,,,9,y,23849,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21956,,,23850,,,,10,y,23850,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21961,,,23851,,,,11,y,23851,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21964,,,23852,,,,12,y,23852,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21959,,,23853,,,,13,y,23853,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21963,,,23854,,,,14,y,23854,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21962,,,23855,,,,15,y,23855,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21970,,,25390,23856,,,16,y,25390,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21973,,,23857,,,,17,y,23857,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21965,,,23858,,,,18,y,23858,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21969,,,23859,,,,19,y,23859,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21968,,,23860,,,,20,y,23860,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21980,,,23861,,,,21,y,23861,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21974,,,23862,,,,22,y,23862,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21981,,,23863,,,,23,y,23863,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21971,,,23864,,,,24,y,23864,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21967,,,23865,,,,25,y,23865,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21972,,,23866,,,,26,y,23866,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21975,,,23867,,,,27,y,23867,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21978,,,23868,,,,28,y,23868,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21985,,,23869,,,,29,y,23869,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21979,,,23870,,,,30,y,23870,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21977,,,25727,(same as 23870) 23871,,,31,y,25727,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21988,,,25391,23872,,,32,y,25391,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21983,,,25906,23873,,,33,y,25906,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21982,,,23874,,,,34,y,23874,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21976,,,23875,,,,35,y,23875,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21989,,,23876,,,,36,y,23876,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21990,,,23877,,,,37,y,23877,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21986,,,23878,,,,38,y,23878,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21987,,,23879,,,,39,y,23879,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21991,,,23880,,,,40,y,23880,,,,,,,,
cutiestestrun19August2021,cutiestestrun19August2021,21984,,,23881,,,,41,y,23881,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21901,,,25506,23882,,,1,y,25506,,y,http://corporaqt.arg.tech/edit.php?k=d6b3d5fcfa8cd63baa00e7668df831b2,http://corpora.aifdb.org/edit.php?k=2ad4ac43e5606a00f4a69967b46b1e27,,,https://docs.google.com/spreadsheets/d/1FercpzxYz1n1VnnMdg6Ri6hcYKf4a7ePr3mqpBOxCSY/edit#gid=513122892,https://docs.google.com/document/d/1GOPmb4ZhrjSuxma8PIW8YeWlAwb3dFfoGlMYnd1Zy28/edit?usp=sharing
cutiestestrun5August2021,cutiestestrun5August2021,21903,,,23883,,,,2,y,23883,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21902,,,23884,,,,3,y,23884,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21904,,,25728,(same as 23884) 23885,,,4,y,25728,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21906,,,23886,,,,5,y,23886,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21910,,,23887,,,,6,y,23887,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21905,,,23888,,,,7,y,23888,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21913,,,23889,,,,8,y,23889,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21907,,,23890,,,,9,y,23890,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21909,,,23891,,,,10,y,23891,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21908,,,23892,,,,11,y,23892,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21915,,,23893,,,,12,y,23893,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21911,,,23894,,,,13,y,23894,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21912,,,23895,,,,14,y,23895,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21919,,,23896,,,,15,y,23896,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21918,,,23897,,,,16,y,23897,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21917,,,23898,,,,17,y,23898,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21930,,,25750,23899,,,18,y,25750,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21924,,,23900,,,,19,y,23900,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21920,,,23901,,,,20,y,23901,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21925,,,23902,,,,21,y,23902,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21926,,,25904,23903,,,22,y,25904,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21928,,,23904,,,,23,y,23904,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21921,,,23905,,,,24,y,23905,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21927,,,23906,,,,25,y,23906,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21932,,,23907,,,,26,y,23907,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21935,,,23908,,,,27,y,23908,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21929,,,25433,23909,,,28,y,25433,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21931,,,23910,,,,29,y,23910,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21936,,,23911,,,,30,y,23911,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21934,,,23912,,,,31,y,23912,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21937,,,23913,,,,32,y,23913,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21933,,,23914,,,,33,y,23914,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21938,,,23915,,,,34,y,23915,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21939,,,23917,,,,35,y,23917,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21941,,,23918,,,,36,y,23918,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21942,,,23920,,,,37,y,23920,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21944,,,25434,23921,,,38,y,25434,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21945,,,23922,,,,39,y,23922,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21947,,,23923,,,,40,y,23923,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21946,,,23924,,,,41,y,23924,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21940,,,23925,,,,42,y,23925,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21948,,,23926,,,,43,y,23926,,,,,,,,
cutiestestrun5August2021,cutiestestrun5August2021,21943,,,23927,,,,44,y,23927,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21847,,,26066,,,,1,y,26066,,y,http://corporaqt.arg.tech/edit.php?k=5fb0a3f21eadf86b61130b3e85225dc9,http://corpora.aifdb.org/edit.php?k=ae260db2cb819b74d7d4e9531993756c,,,https://docs.google.com/spreadsheets/d/1FercpzxYz1n1VnnMdg6Ri6hcYKf4a7ePr3mqpBOxCSY/edit#gid=779044827,https://docs.google.com/document/d/1bXZ-tB655U5Cp_8vAth2c-_Qr7PwuIHk7qUPXLqFKuE/edit?usp=sharing
cutietestrun22July2021,cutietestrun22July2021,21848,,,23928,,,,2,y,23928,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21846,,,23929,,,,3,y,23929,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21851,,,23930,,,,4,y,23930,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21850,,,23931,,,,5,y,23931,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21849,,,23932,,,,6,y,23932,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21854,,,23933,,,,7,y,23933,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21852,,,23934,,,,8,y,23934,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21853,,,23935,,,,9,y,23935,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21855,,,23936,,,,10,y,23936,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21868,,,23388,23937,,,11,y,23388,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21857,,,23938,,,,12,y,23938,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21860,,,23939,,,,13,y,23939,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21864,,,23940,,,,14,y,23940,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21863,,,23941,,,,15,y,23941,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21859,,,23942,,,,16,y,23942,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21871,,,25394,23943,,,17,y,25394,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21865,,,23944,,,,18,y,23944,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21861,,,25729,23945,,,19,y,25729,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21866,,,23391,23946,,,20,y,23391,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21862,,,23947,,,,21,y,23947,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21867,,,23948,,,,22,y,23948,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21870,,,23949,,,,23,y,23949,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21869,,,23950,,,,24,y,23950,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21872,,,23951,,,,25,y,23951,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21873,,,23953,,,,26,y,23953,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21874,,,23954,,,,27,y,23954,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21886,,,23955,,,,28,y,23955,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21877,,,23956,,,,29,y,23956,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21876,,,23396,23957,,,30,y,23396,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21878,,,23958,,,,31,y,23958,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21891,,,23959,,,,32,y,23959,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21875,,,23960,,,,33,y,23960,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21881,,,23961,,,,34,y,23961,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21879,,,23962,,,,35,y,23962,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21880,,,23963,,,,36,y,23963,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21890,,,23398,23964,,,37,y,23398,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21888,,,23965,,,,38,y,23965,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21883,,,23966,,,,39,y,23966,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21882,,,23967,,,,40,y,23967,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21889,,,23968,,,,41,y,23968,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21896,,,23969,,,,42,y,23969,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21887,,,25396,23970,,,43,y,25396,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21892,,,23971,,,,44,y,23971,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21895,,,23972,,,,45,y,23972,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21897,,,23973,,,,46,y,23973,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21894,,,25730,23974,,,47,y,25730,,,,,,,,
cutietestrun22July2021,cutietestrun22July2021,21893,,,23976,,,,48,y,23976,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cutietestrun22July2021,IAAcuties22July2021old,21868,,,23388,,,,,y,,,,http://corporaqt.arg.tech/edit.php?k=76d04d248f1a00ebb7e470c6d07ff53d,http://corpora.aifdb.org/edit.php?k=16fb1ad26b96a3f50d6a77fb62d75132,,y,,
cutietestrun22July2021,IAAcuties22July2021old,21866,,,23391,,,,,y,,,,,,,y,,
cutietestrun22July2021,IAAcuties22July2021old,21876,,,23396,,,,,y,,,,,,,y,,
cutietestrun22July2021,IAAcuties22July2021old,21890,,,23398,,,,,y,,,,,,,y,,
,,,,,,,,,,,,,,,,,,,
cutietestrun22July2021,IAAcuties22July2021new,22219,,,23430,,,,11,y,23430,,,http://corporaqt.arg.tech/edit.php?k=3df57f51691a0bdc8420ca13724aa41e,http://corpora.aifdb.org/edit.php?k=fc70494b78f09ebea228ec7630353fa7,,,,
cutietestrun22July2021,IAAcuties22July2021new,22220,,,23428,,,,20,y,23428,,,,,,,,
cutietestrun22July2021,IAAcuties22July2021new,22222,,,23425,,,,30,y,23425,,,,,,,,
cutietestrun22July2021,IAAcuties22July2021new,22225,,,23458,23399,,,37,y,23458,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21639,21639,,,,,,1,y,21639,,y,http://corpora.aifdb.org/edit.php?k=287ba7ffa0a9cabda18026b04fe87ba7,,,,https://docs.google.com/spreadsheets/d/1FercpzxYz1n1VnnMdg6Ri6hcYKf4a7ePr3mqpBOxCSY/edit#gid=137366060,https://docs.google.com/document/d/1pNwLv8rqRGSkPrd7jhqG_P53dDXl45MG-pypjQdCMmU/edit?usp=sharing
cutietestrun8july2021,cutietestrun8july2021,21641,21641,,,,,,2,y,21641,,,,,n,,,
cutietestrun8july2021,cutietestrun8july2021,21638,21638,,,,,,3,y,21638,,,,,n,,,
cutietestrun8july2021,cutietestrun8july2021,21640,21640,,,,,,4,y,21640,,,,,n,,,
cutietestrun8july2021,cutietestrun8july2021,21642,21642,,,,,,5,y,21642,,,,,n,,,
cutietestrun8july2021,cutietestrun8july2021,21647,23380,,,21647,,,6,y,23380,,,,,n,,,
cutietestrun8july2021,cutietestrun8july2021,21643,21643,,,,,,7,y,21643,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21648,21648,,,,,,8,y,21648,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21689,21689,,,,,,9,y,21689,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21645,21645,,,,,,10,y,21645,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21644,21644,,,,,,11,y,21644,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21655,21655,,,,,,12,y,21655,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21690,21690,,,,,,13,y,21690,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21660,21660,,,,,,14,y,21660,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21652,21652,,,,,,15,y,21652,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21691,23382,,,21691,,,16,y,23382,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21653,21653,,,,,,17,y,21653,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21677,21677,,,,,,18,y,21677,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21726,25491,,,21726,,,19,y,25491,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21650,21650,,,,,,20,y,21650,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21646,21646,,,,,,21,y,21646,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21649,21649,,,,,,22,y,21649,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21688,23384,,,21688,,,23,y,23384,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21738,21738,,,,,,24,y,21738,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21681,21681,,,,,,25,y,21681,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21705,21705,,,,,,26,y,21705,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21716,21716,,,,,,27,y,21716,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21678,21678,,,,,,28,y,21678,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21682,21682,,,,,,29,y,21682,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21711,21711,,,,,,30,y,21711,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21700,21700,,,,,,31,y,21700,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21709,21709,,,,,,32,y,21709,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21731,21731,,,,,,33,y,21731,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21685,23386,,,21685,,,34,y,23386,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21703,21703,,,,,,35,y,21703,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21728,21728,,,,,,36,y,21728,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21745,21745,,,,,,37,y,21745,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21746,21746,,,,,,38,y,21746,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21756,21756,,,,,,39,y,21756,,,,,,,,
cutietestrun8july2021,cutietestrun8july2021,21737,21737,,,,,,40,y,21737,,,,,,,,
,,,,,,,,,,,,,,,,,,,
cutietestrun8july2021,IAAcuties8July2021old,21647,21647,,23380,,,,,y,,,,,http://corpora.aifdb.org/edit.php?k=cdeb4d96a480fc2d900f0e4b19a774d6,n,y,,
cutietestrun8july2021,IAAcuties8July2021old,21691,21691,,23382,,,,,y,,,,,,n,y,,
cutietestrun8july2021,IAAcuties8July2021old,21688,21688,,23384,,,,,y,,,,,,n,y,,
cutietestrun8july2021,IAAcuties8July2021old,21685,21685,,23386,,,,,y,,,,,,n,y,,
,,,,,,,,,,,,,,,,,,,
cutietestrun8july2021,IAAcuties8July2021new,22214,,,23381,,,,6,y,23381,,,,http://corpora.aifdb.org/edit.php?k=24d3d9d8198478a86a07bbfb4e697453,y,y,,
cutietestrun8july2021,IAAcuties8July2021new,22215,,,23456,23383,,,16,y,23456,,,,,y,y,,
cutietestrun8july2021,IAAcuties8July2021new,22216,,,23385,,,,23,y,23385,,,,,y,y,,
cutietestrun8july2021,IAAcuties8July2021new,22217,,,23457,23387,,,34,y,23457,,,,,y,y,,
,,,,,,,,,,,,,,,,,,,
cutietestrun24June2021,cutietestrun24June2021,21566,21566,,,,,,1,y,21566,,y,http://corpora.aifdb.org/edit.php?k=8cb33589cd6a647e8e057a550d74bc7d,,,,https://docs.google.com/spreadsheets/d/1FercpzxYz1n1VnnMdg6Ri6hcYKf4a7ePr3mqpBOxCSY/edit#gid=1301501643,https://docs.google.com/document/d/10IG692n1-GzpwwvtvlKlCzu6kwhpeWmlSxmUtgttBHc/edit?usp=sharing
cutietestrun24June2021,cutietestrun24June2021,21568,21568,,,,,,2,y,21568,,,,,,,,
cutietestrun24June2021,cutietestrun24June2021,21567,21567,,,,,,3,y,21567,,,,,,,,
cutietestrun24June2021,cutietestrun24June2021,21569,21569,,,,,,4,y,21569,,,,,,,,
cutietestrun24June2021,cutietestrun24June2021,21570,21570,,,,,,5,y,21570,,,,,,,,
cutietestrun24June2021,cutietestrun24June2021,21573,21573,,,,,,6,y,21573,,,,,,,,
cutietestrun24June2021,cutietestrun24June2021,21575,21575,,,,,,7,y,21575,,,,,,,,
cutietestrun24June2021,cutietestrun24June2021,21572,21572,,,,,,8,y,21572,,,,,,,,
cutietestrun24June2021,cutietestrun24June2021,21571,21571,,,,,,9,y,21571,,,,,,,,
